University_uni,City,Type,Founded_Year_clean,Stream_Type,College Type,Faculty,Department,Minimum Absolute Score,Minimum Percentage (%),Decade
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Internal Medicine,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Internal Medicine,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Medicine,Internal Medicine,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Surgery,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Surgery,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Medicine,Surgery,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Pediatrics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Pediatrics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Medicine,Pediatrics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Obstetrics & Gynecology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Obstetrics & Gynecology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Medicine,Obstetrics & Gynecology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Pharmacology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Pharmacology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Medicine,Pharmacology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Anatomy,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Medicine,Anatomy,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Medicine,Anatomy,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Civil Engineering,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Civil Engineering,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Engineering,Civil Engineering,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Mechanical Engineering,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Mechanical Engineering,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Engineering,Mechanical Engineering,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Electrical Engineering,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Electrical Engineering,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Engineering,Electrical Engineering,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Architecture,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Architecture,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Engineering,Architecture,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Computer Engineering,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Engineering,Computer Engineering,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Engineering,Computer Engineering,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Mathematics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Mathematics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Science,Mathematics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Physics,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Physics,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Science,Physics,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Chemistry,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Chemistry,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Science,Chemistry,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Geology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Geology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Science,Geology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Botany,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Botany,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Science,Botany,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Zoology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Science,Zoology,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Science,Zoology,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Agronomy,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Agronomy,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Agriculture,Agronomy,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Horticulture,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Horticulture,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Agriculture,Horticulture,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Animal Production,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Animal Production,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Agriculture,Animal Production,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Soil Science,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Soil Science,395.0,96.3,1950
ain shams university,Cairo,Public,1950,Literary,Law (),Faculty of Agriculture,Soil Science,270.0,71.1,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Plant Pathology,397.0,96.8,1950
ain shams university,Cairo,Public,1950,Science,Medicine (Medicine),Faculty of Agriculture,Plant Pathology,395.0,96.3,1950
